"munResCod";"munResStatus";"munResTipo";"munResNome";"munResUf";"munResLat";"munResLon";"munResAlt";"munResArea"
130260;"ATIVO";"MUNIC";"Manaus";"Amazonas";-3,13469;-60,02334;34;11401,092
130270;"ATIVO";"MUNIC";"Manicoré";"Amazonas";-5,81321;-61,29925;44;48292,899
130280;"ATIVO";"MUNIC";"Maraã";"Amazonas";-1,86644;-65,57428;47;16830,827
130290;"ATIVO";"MUNIC";"Maués";"Amazonas";-3,38643;-57,71503;24;39987
130300;"ATIVO";"MUNIC";"Nhamundá";"Amazonas";-2,18898;-56,71677;1;14105,59
130310;"ATIVO";"MUNIC";"Nova Olinda do Norte";"Amazonas";-3,88759;-59,09307;12;5608,565
130320;"ATIVO";"MUNIC";"Novo Airão";"Amazonas";-2,62343;-60,94881;22;37796,238
130330;"ATIVO";"MUNIC";"Novo Aripuanã";"Amazonas";-5,12267;-60,37705;29;41166,848
130340;"ATIVO";"MUNIC";"Parintins";"Amazonas";-2,62705;-56,73629;17;5952,044
130350;"ATIVO";"MUNIC";"Pauini";"Amazonas";-7,71404;-67,0021;118;41620,618
130353;"ATIVO";"MUNIC";"Presidente Figueiredo";"Amazonas";-2,05843;-60,02565;58;25421,254
130356;"ATIVO";"MUNIC";"Rio Preto da Eva";"Amazonas";-2,6933;-59,70474;35;5813,224
130360;"ATIVO";"MUNIC";"Santa Isabel do Rio Negro";"Amazonas";-0,41669;-65,02002;34;62800,079
130370;"ATIVO";"MUNIC";"Santo Antônio do Içá";"Amazonas";-3,10749;-67,94649;67;12366,142
130380;"ATIVO";"MUNIC";"São Gabriel da Cachoeira";"Amazonas";-0,13646;-67,08364;62;109181,24
130390;"ATIVO";"MUNIC";"São Paulo de Olivença";"Amazonas";-3,46651;-68,94485;87;19658,502
130395;"ATIVO";"MUNIC";"São Sebastião do Uatumã";"Amazonas";-2,57015;-57,87035;17;10741,08
130400;"ATIVO";"MUNIC";"Silves";"Amazonas";-2,83643;-58,2148;64;3748,833
130406;"ATIVO";"MUNIC";"Tabatinga";"Amazonas";-4,23188;-69,94624;63;3266,062
130410;"ATIVO";"MUNIC";"Tapauá";"Amazonas";-5,62422;-63,18709;51;84948,862
130420;"ATIVO";"MUNIC";"Tefé";"Amazonas";-3,34837;-64,70842;47;23732,619
130423;"ATIVO";"MUNIC";"Tonantins";"Amazonas";-2,86109;-67,77648;66;6446,895
130426;"ATIVO";"MUNIC";"Uarini";"Amazonas";-2,98361;-65,15535;43;10274,677
130430;"ATIVO";"MUNIC";"Urucará";"Amazonas";-2,53661;-57,75983;18;27904,759
130440;"ATIVO";"MUNIC";"Urucurituba";"Amazonas";-3,13463;-58,15964;23;2906,701
140000;"IGNOR";"IGNOR";"Município ignorado - RR";"Roraima";NA;NA;NA;NA
140002;"ATIVO";"MUNIC";"Amajari";"Roraima";3,65212;-61,42059;108;28472,31
140005;"ATIVO";"MUNIC";"Alto Alegre";"Roraima";2,99382;-61,31402;122;25567,031
140010;"ATIVO";"MUNIC";"Boa Vista";"Roraima";2,81668;-60,67053;80;5687,037
140015;"ATIVO";"MUNIC";"Bonfim";"Roraima";3,35029;-59,87801;87;8095,421
140017;"ATIVO";"MUNIC";"Cantá";"Roraima";2,60767;-60,60206;83;7664,831
